id animal X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12
1 yakuba 8.07416115060646 5.59300380379236 8.63839393434212 4.90654813957039 4.82002153980527 6.33289835077849 2.42163404809325 11.0781187092062 -13.8155105579643 11.3611973746343 12.2413748909276 -13.8155105579643
2 melanogaster 7.37418269469049 6.76431118832884 8.6359148421178 4.30390362664801 2.32588814371345 4.61214530295889 5.21575081666239 11.9255700497555 4.00113445109091 10.5245459932055 12.0772865080146 2.32840133906095
3 melanogaster 8.58926725227799 4.17116700185679 7.86430939542591 7.22247677313304 3.24412248026759 3.07922982296654 3.12368550119608 11.784470075925 3.61735113946995 10.9618387393794 11.9572674712794 -13.8155105579643
4 melanogaster 9.24141717861308 6.19554795392185 8.70038483891514 6.4475766107286 3.3527367823314 5.04011271704728 7.02516881116197 11.4691388943324 -13.8155105579643 11.025258397215 12.107483293023 2.54809980964573
5 melanogaster 5.87778829549685 3.62320659578328 8.17362264248212 6.56880640807095 4.43322445934917 5.00779763977675 -13.8155105579643 11.6369051996855 -13.8155105579643 11.3881094663217 12.0169816487757 -13.8155105579643
6 melanogaster 9.74370473677293 3.35150315171902 8.82815816002339 6.99889448336785 4.60655906733498 5.04673794884986 -13.8155105579643 11.3658793789329 4.15477959180999 11.2820481818363 12.064642026698 -13.8155105579643
7 melanogaster 11.1265521516313 2.9759099924862 6.87020424246007 8.88867714220191 3.45133777215062 3.7900225637063 1.61257310095506 9.77144733722365 4.77228813187621 11.6964078936025 11.8828986901256 -13.8155105579643
8 melanogaster 8.37247007004463 4.92633761744653 7.68843556197824 7.27419808101746 -13.8155105579643 4.4739067432908 4.62773260724772 11.0806650584125 2.31832692389401 11.6432597867415 12.0948403984207 -13.8155105579643
9 melanogaster 10.841784522298 2.68024218525812 9.2670895021597 8.08352822382926 -13.8155105579643 1.60956918212342 -13.8155105579643 9.68097827577325 4.73905834616695 11.6113283258597 11.9696114347651 -13.8155105579643
10 melanogaster 10.0343466651282 3.50773749145308 7.41227071187668 8.64061228423831 1.61568147517066 3.20574883505831 1.59446946396524 10.9984544037757 3.72443118174916 11.5575791582396 11.997847591654 -13.8155105579643
11 melanogaster 10.0758647775805 3.79273416124551 9.02593612726219 8.96031598622031 3.7006087607834 4.19472682649533 -13.8155105579643 11.0022294388751 3.55041231348311 11.547500143556 11.9785376790695 -13.8155105579643
12 melanogaster 6.75659392575879 2.8097763558273 8.25534282001899 5.65811896432753 4.40137624553139 4.62624091126131 -13.8155105579643 11.7777751599357 3.31411097392963 10.7447524376397 12.0665032887491 -13.8155105579643
13 melanogaster 9.38792416880857 1.78757126472313 6.83135153767767 7.12899828084392 5.26140442915028 5.33930975198033 -13.8155105579643 11.4115556924772 2.32673717286672 11.344528681409 12.08338990223 -13.8155105579643
14 melanogaster 9.6466677795143 4.880322297861 8.66114267406221 7.91334105200596 3.01683451884915 5.04078943137548 -13.8155105579643 11.2362060629538 3.5730925402888 11.4042769625121 12.0951348292797 -13.8155105579643
15 melanogaster 10.2850981150229 1.60382172996019 7.986340888857 7.50188441912894 5.75765257505707 4.73211998155059 -13.8155105579643 10.6916112045353 3.25614020560968 11.6355774982021 12.062467520344 -13.8155105579643
